
[asn.txt]                                        2008-12-14 03:45:01Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.  
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates 
on this information please contact the ARIN Registration Services Hostmaster 
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 555                     NETWORKCS                                          NAS-ARIN (Tech), LBU28-ARIN (Tech)
 556                     CALREN-AS                                          WP8-ARIN (Tech)
 557                     UMAINE-SYS-AS                                      IKA-ARIN (Tech), NAR5-ARIN (Abuse)
 558                     NET2EZ                                             NET2E-ARIN (Tech)
 559                     RIPE-ASNBLOCK-559                                  
 560                     LVLT-560                                           APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 561                     3COM-A                                             ZG18-ARIN (Tech)
 562                     3COM-B                                             ZG18-ARIN (Tech)
 563                     3COM-C                                             ZG18-ARIN (Tech)
 564                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 565                     RIPE-ASNBLOCK-565                                  
 566                     CSSP-ASN                                           AJ29-ARIN (Tech), DB885-ARIN (Abuse)
 567                     ASN-LNET-AS                                        LNAT-ARIN (Abuse), LH-ORG-ARIN (Tech)
 568                     SUMNET-AS                                          JC536-ARIN (Tech)
 569                     DIMNET-AS                                          FZ-ARIN (Tech)
 570                     SSD-NET-AS                                         JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 571                     CENTCOM-AS                                         KMC3-ARIN (Tech)
 573                     NAVDEC-NET3-AS                                     DG163-ARIN (Tech)
 574                     PSC-TEST-AS                                        PN-ORG-ARIN (Tech)
 575                     ANSOC-575-AS                                       BETHA2-ARIN (Tech)
 576                     NAVDAC-NET3-AS                                     
 577                     BACOM                                              ABAI1-ARIN (Abuse), ABUSE1127-ARIN (Abuse), SYSAD1-ARIN (Tech)
 580                     RIPE-ASNBLOCK-580                                  
 581                     GDSS-XRSNET-AS                                     BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 582                     GDSS-21AF-AS                                       BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 583                     GDSS-22AF-AS                                       BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 584                     GDSS-23AF-AS                                       BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 585                     GDSS-322ALD-AS                                     BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 586                     GDSS-834ALD-AS                                     BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 587                     GDSS-ANG-AS                                        BB276-ARIN (Tech), MIL-HSTMST-ARIN (Tech)
 588                     FRANKFRT-GW1                                       MIL-HSTMST-ARIN (Tech)
 589                     UNT-CAMPUS-AS                                      PB226-ARIN (Tech), INFOR9-ARIN (Abuse), BC12-ARIN (Tech)
 590                     RIPE-ASNBLOCK-590                                  
 591                     NSTN-AS                                            MM583-ARIN (Tech)
 592                     USNA-NADN-AS                                       DRB43-ARIN (Tech), LS529-ARIN (Tech)
 593                     RIPE-ASNBLOCK-593                                  
 594-598                 LVLT594-598                                        APL8-ARIN (Abuse), ARINC4-ARIN (Tech), TPL1-ARIN (Tech)
 599                     NISC-AS                                            VN-ARIN (Tech), LS732-ARIN (Tech)
 600                     OARNET-AS                                          GS1050-ARIN (Tech), NOC2069-ARIN (Tech)
 601                     BACOM4-AS                                          ABAI1-ARIN (Abuse), ABUSE1127-ARIN (Abuse), SYSAD1-ARIN (Tech)
 602                     BACOM3-AS                                          ABAI1-ARIN (Abuse), ABUSE1127-ARIN (Abuse), SYSAD1-ARIN (Tech)
 603                     BACOM2-AS                                          ABAI1-ARIN (Abuse), ABUSE1127-ARIN (Abuse), SYSAD1-ARIN (Tech)
 611                     CANET11-AS                                         CA-NOC-ARIN (Tech), NSTEC-ARIN (Tech), RS2206-ARIN (Tech)
 613                     ARCO-AS                                            SC199-ARIN (Tech)
 614                     CSUNET-AS                                          CDA56-ARIN (Tech)
 615                     AS-RITCHIE-GW1                                     BETHA2-ARIN (Tech)
 616-665                 PENS-NET-AS                                        DRB43-ARIN (Tech), LS529-ARIN (Tech)
 666                     CSTA-CISCO-AS                                      BETHA2-ARIN (Tech)
 667                     FSTC-MIL-AS                                        MIL-HSTMST-ARIN (Tech)
 668                     ASN-ASNET-NET-AS                                   MHE32-ARIN (Tech), WWI25-ARIN (Tech)
 669                     RIPE-ASNBLOCK-669                                  
 670                     DARMSTADT-GW1-AS                                   KL84-ARIN (Tech)
 671                     BAUMHOLDER-GW1-AS                                  LN10-ARIN (Tech)
 672                     FULDA-GW1-AS                                       SM48-ARIN (Tech)
 673                     HANAU-GW1-AS                                       
 674                     BBN-DSI                                            JSW27-ARIN (Tech)
 675                     MSUS-AS                                            DK142-ARIN (Tech), ABUSE125-ARIN (Abuse), HOSTM43-ARIN (Tech)
 676                     LACNIC-676                                         LACNIC-ARIN (Tech)
 677                     ASU-AS                                             SMB33-ARIN (Tech), ZA106-ARIN (Tech)
 678                     DNIC                                               MIL-HSTMST-ARIN (Tech)
 679-680                 RIPE-ASNBLOCK-679                                  
 681                     APNIC-681                                          AWC12-ARIN (Tech)
 682                     AS-ORNL-IGRP1-AS                                   THD-ARIN (Tech), NM5-ORG-ARIN (Tech)
 683                     ARGONNE-AS                                         ANA3-ORG-ARIN (Tech), ABUSE482-ARIN (Abuse), LW26-ARIN (Tech)
 684                     MTSAL-ASN                                          IAD3-ARIN (Abuse), MIE5-ARIN (Tech)
 685                     NTTA-685                                           VIA4-ORG-ARIN (Tech), NAAC-ARIN (Abuse), VIPAR-ARIN (Tech)
 686                     OSD-GW-AS                                          WSW11-ARIN (Tech)
 687                     NATC-CSDRD-AS                                      DS95-ARIN (Tech)
 688                     RECNET-AS                                          JIMWW-ARIN (Tech)
 689                     MERIT-AS-26                                        NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 690                     MERIT-AS-27                                        ABUSE3-ARIN (Abuse), IE8-ARIN (Tech), NETWO26-ARIN (Abuse), MERIT-ARIN (Tech)
 691                     PEINET-AS                                          DC307-ARIN (Tech), BLAIR-ARIN (Tech)
 692                     SEMATECH-AS                                        MP5121-ARIN (Tech)
 693                     NOTRE-DAME-AS                                      SPS5-ARIN (Tech), UNDA-ARIN (Abuse), TK452-ARIN (Tech)
 694                     UTAACS-ASN                                         BETHA2-ARIN (Tech)
 695-697                 RIPE-ASNBLOCK-695                                  
 698                     ASN-UIUC-REGION-AS                                 RV80-ARIN (Tech)
 700                     ROKNET-AS                                          RR280-ARIN (Tech)
 701-705                 UUNET                                              ABUSE3-ARIN (Abuse), JHU140-ARIN (Tech), SWIPP-ARIN (Tech)
 706                     TEST-AUSTIN-IBM-AS                                 MH486-ARIN (Tech)
 707                     ELAN-AS                                            JAMES23-ARIN (Tech), TIMAM1-ARIN (Tech)
 708                     SB-COMM-AS                                         PSK-ARIN (Tech)
 709-710                 RIPE-ASNBLOCK-709                                  
